# Định dạng mỗi dòng: ÂM HÁN VIỆT,TIẾNG NHẬT (CÁCH ĐỌC),NGHĨA TIẾNG VIỆT
# Cách đọc là TUỲ CHỌN: viết trong ngoặc ở cuối cột tiếng Nhật.
#   TỊCH,席 (せき),chỗ ngồi/ ghế
# Phần trong ngoặc được tách thành cột riêng, không tính là một phần của từ —
# khi luyện gõ đáp án vẫn chỉ cần gõ 席.
# Câu ví dụ cũng TUỲ CHỌN: viết sau dấu | ở cuối cột nghĩa.
#   ĐÀO,逃げます (にげます),chạy trốn/ bỏ chạy|犯人は逃げました。
# Dùng dấu | chứ không thêm dấu phẩy, để cột nghĩa vẫn chứa được dấu phẩy.
# Dòng bắt đầu bằng # là ghi chú, sẽ bị bỏ qua.
#
# NGUỒN: 皆の日本語 II bản tiếng Việt, bài 42 — mục I. Từ vựng (tr. 104-105),
# gồm cả phần 〈会話〉 và 〈読み物〉. Danh sách cũ ở đây chép nhầm sang bài 43
# (輸出が増えます…収入) nên đã thay toàn bộ.
#
# Sách viết một số từ bằng kana cho dễ đọc; ở đây chép về DẠNG ĐẦY ĐỦ — có chữ
# Hán thì viết chữ Hán, có âm Hán Việt thì ghi âm — cách đọc kana giữ trong ngoặc
# nên vẫn học được như sách: めん→麺, やかん→薬缶, ふた→蓋, ふろしき→風呂敷,
# そろばん→算盤, どんぶり→丼, なぜ→何故, どのくらい→どの位, カップめん→カップ麺,
# 子ども→子供.
#
# 7 dòng vẫn trống ô âm Hán Việt vì không có dạng chữ Hán nào để lấy âm: 4 mục
# katakana (アパート, ミキサー, ローン, ベートーベン), 3 tên riêng
# (チキンラーメン, エリーゼのために, こどもニュース), ある～ (或る là 表外),
# ～によって (mẫu ngữ pháp, không viết bằng chữ Hán) và のし袋 (熨斗 là 表外).
# Hai chiều luyện Nhật→Hán Việt và Hán Việt→Nhật bỏ qua đúng mấy dòng đó;
# `filterWords` trong lesson-detail.ts lo phần này.
BAO,包みます (つつみます),gói|プレゼントをきれいな紙で包みます。
PHỮU THIẾT,缶切り (かんきり),cái mở nắp hộp|缶切りで缶詰を開けます。
PHỮU CẬT,缶詰 (かんづめ),đồ hộp/ thực phẩm đóng hộp|旅行に缶詰を持って行きます。
ĐẠI,のし袋 (のしぶくろ),phong bì dùng để bỏ tiền mừng|結婚のお祝いはのし袋に入れます。
PHONG LỮ PHU,風呂敷 (ふろしき),khăn vuông để gói đồ kiểu Nhật|風呂敷は物を包むのに使います。
TOÁN BÀN,算盤 (そろばん),bàn tính|算盤で計算します。
THỂ ÔN KẾ,体温計 (たいおんけい),nhiệt kế|熱があるので、体温計を借りました。
TÀI LIỆU,材料 (ざいりょう),nguyên liệu|カレーの材料を買いに行きます。
,ある～,một ～ nọ|ある日、山で犬を見つけました。
NHẤT SINH HUYỀN MỆNH,一生懸命 (いっしょうけんめい),chăm chỉ/ gắng hết sức|将来のために一生懸命働いています。
HÀ CỐ,何故 (なぜ),tại sao|何故日本語を勉強しているんですか。
VỊ,どの位 (どのくらい),bao nhiêu|駅までどの位かかりますか。
QUỐC LIÊN,国連 (こくれん),Liên Hợp Quốc|国連で働くために、英語を勉強しています。
,エリーゼのために,Dành cho Elise/ tên một bản nhạc|「エリーゼのために」はベートーベンの曲です。
,ベートーベン,Beethoven/ nhà soạn nhạc người Đức (1770-1827)|ベートーベンはドイツの音楽家です。
,こどもニュース,Bản tin thiếu nhi/ chương trình tin tức giả định|こどもニュースは子供たちのための番組です。
XUẤT,ボーナスが出ます (ボーナスがでます),có thưởng/ được thưởng|今年もボーナスが出ました。
BÁN PHÂN,半分 (はんぶん),một nửa|ボーナスの半分を貯金します。
,ローン,khoản vay ngân hàng|ローンで車を買いました。
MIẾN,カップ麺 (カップめん),mì ly/ mì ăn liền để trong ly dùng một lần|お湯を沸かして、カップ麺を作ります。
THẾ GIỚI SƠ,世界初 (せかいはつ),đầu tiên trên thế giới|これは世界初のカップ麺です。
,～によって,bởi ～|カップ麺は安藤百福によって作られました。
ĐÔN,丼 (どんぶり),bát tô lớn|丼にご飯を入れます。
MIẾN,麺 (めん),mì sợi|丼の麺にお湯を注ぎます。
QUẢNG,広めます (ひろめます),phổ cập/ nhân rộng/ mở rộng|日本の文化を世界に広めたいです。
THỊ TRƯỜNG ĐIỀU TRA,市場調査 (しじょうちょうさ),điều tra thị trường|新しい商品のために市場調査をします。
CÁT,割ります (わります),bẻ ra/ chia nhỏ ra|麺を半分に割って、丼に入れます。
CHÚ,注ぎます (そそぎます),đổ vào|カップにお湯を注ぎます。
,チキンラーメン,Chikin Ramen/ tên của một loại mì ăn liền|チキンラーメンは世界初のインスタントラーメンです。
AN ĐẰNG BÁCH PHÚC,安藤百福 (あんどうももふく),Ando Momofuku/ nhà kinh doanh, nhà phát minh người Nhật (1910-2007)|安藤百福はカップ麺を発明しました。
